Product Name,Form,Type,Presentation,Packaging,Suggested Intake,All Ingredients,Benefit Keywords
Collagen Tablets,Tablet,Health Supplement,Zipper pouch or Bottle,300 tablets,5 to 10 tablets/day,"Fish Collagen Peptide, Vitamin E, Silk Peptide, Vitamin C, CoQ10, Chicken Cartilage Extract, Swallow Nest Extract, Pearl Powder, Pearl Coix Extract","Skincare, Anti-Aging, Moisturizing, Whitening, Joint Health"
Salacia fiber granules,Powder,Food Supplement,Pouch,30 sticks/pouch,1 to 3 sticks/day,"Dietary Fiber (Indigestible dextrin), Salacia Reticulata Extract, Yacon Extract","Weight Loss, Blood Sugar Control, Digestive Health"
Noni Citrulline,Capsule,Food Supplement,Pouch,60 capsules/pouch,1 to 3 capsules/day,"Noni Fruit Powder, L-Citrulline, Gelatin, Caramel, Hesperidin, Potato Starch","Circulation, Energy, Immunity, Anti-Aging"
Beauty Anti-Aging,Capsule,Beauty Supplement,Glass Bottle,"90 capsules/bottle, 50 bottles/carton",2 to 4 capsules/day,"Red Clover Extract, Alpha Lipoic Acid, Matrimony Vine Extract, Orange Oil, Powdered Pearl, Safflower Oil, Gelatin, Beeswax, Caramel Pigment","Menopause, Skin Beauty, Hormone Balance, Anti-Aging"
Weight Loss Powder,Powder,Dietary Supplement,Aluminium pouch,1.5g/pack × 30 packs/package × 30 packages/carton,1 pack/day,"Dextrin, Glucose, Peach Juice Powder, Soybean Protein, Fructo-oligosaccharide, Psyllium Seed Gum, Fermented Vegetable Extract Powder, Gluconolactone, Crab Chitosan, Citric Acid, Stabilizer, Sweetener, Flavor, Sodium Citrate, Eggshell Calcium, Vegetable Sterol, Lysine Hydrochloride, Alanine, Arginine, Proline","Weight Loss, Appetite Control, Digestion, Fiber, Fat Binding"
Blood Sugar Care,Tablet,Food,Glass bottle or Aluminium pouch,"300 tablets/package, 50 packages/carton",10 tablets/day,"Ipomoea Batatas Powder, Mulberry Leaf Powder, Dextrin, Salacia Powder, Rhodiola Rosea Powder, Crystalline Cellulose, Calcium Stearate, Silicon Dioxide Fine Powder","Blood Sugar Control, Diabetes Support, Carbohydrate Metabolism"
Collagen Drink,Drink,Health Supplement,50ml glass bottle,10 bottles/box,1 to 2 bottles/day,"Collagen Peptide 12,000mg (Fish), Vitamin C, Malic Acid, Citric Acid, Chondroitin, Elastin, Grape Juice, No calorie sweetener","Skincare, Anti-Aging, Collagen Boost, Hydration"
Garlic Powder/Egg yolk/Black Vinegar,Capsule,Health and Beauty Supplement,Aluminum pouch,"45 capsules/pack, 100 packs/carton",1 to 3 capsules/day,"Fermented Black Garlic Powder, Egg Yolk Oil, Unrefined Black Vinegar Powder, Hydrolyzed Egg Whites","Cardiovascular Health, Immunity, Energy, Antioxidant"
Prostate Risk Reduction,Tablet,Food,Bottle,"60 tablets/bottle, 30 bottles/carton",2 tablets/day,"Saw Palmetto Fruit Extract, Saw Palmetto Pollen Extract, Safflower Oil","Prostate Health, Hormone Balance, Urinary Health, Vitality"
Collagen Drink,Drink,Anti-Ageing,50ml glass bottle,10 bottles/box,1 bottle/day,"Water-Soluble Collagen, Ceramide, Coenzyme Q10, Hyaluronic Acid, Placenta Extract, Royal Jelly, Chondroitin Sulfate","Anti-Aging, Skin Health, Collagen Boost, Hydration"
